"serviceIdentifierCode","title","url","servicetype","conformanceHref","conformanceTitles","conformancePass"
"89dbce66-d2c5-44d8-9d5d-ed3f7cbb85fa","Schelpdierpercelen OGC API Features","https://api.pdok.nl/rvo/schelpdierpercelen/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features"",""Conform verordening";"De service voldoet aan de requirements van de invocable conformance class";"is conform OGC API features specificatie"",""true";"true";"true""
"924cfdc3-71cc-40fc-8581-abe9b2332547","Gebieden met Natuurrisico's - Overstromingen - Geobserveerde gebeurtenis - Richtlijn Overstromingsrisico's (ROR) (INSPIRE geharmoniseerd) OGC API Features","https://api.pdok.nl/rws/overstromingen-gebeurtenis/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening";"De service voldoet aan de requirements van de interoperable conformance class";"is conform OGC API features specificatie";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"b6d2d023-92d9-40a2-a020-5cc2275a450f","CBS Vierkantstatistieken 100m 2009 WMS","https://service.pdok.nl/cbs/vierkantstatistieken100m/2009/wms/v1_0?request=GetCapabilities&service=WMS","view",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2009\/976";"https:\/\/inspire.ec.europa.eu\/documents\/technical-guidance-implementation-inspire-view-services-1"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"Conform technische specificatie; Validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1"",""true";"true""
"d664846d-8b6d-43dc-acd2-f06eb751056d","CBS Vierkantstatistieken 100m 2022 WMS","https://service.pdok.nl/cbs/vierkantstatistieken100m/2022/wms/v1_0?request=GetCapabilities&service=WMS","view",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2009\/976";"https:\/\/inspire.ec.europa.eu\/documents\/technical-guidance-implementation-inspire-view-services-1"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"Conform technische specificatie; Validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1"",""true";"true""
"e8af7137-b357-4bc7-81d8-fccb8819f4ae","CBS Vierkantstatistieken 500m 2016 WMS","https://service.pdok.nl/cbs/vierkantstatistieken500m/2016/wms/v1_0?request=GetCapabilities&service=WMS","view",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2009\/976";"https:\/\/inspire.ec.europa.eu\/documents\/technical-guidance-implementation-inspire-view-services"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"Conform technische specificatie; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1"",""true";"true""
"5bc4e496-4b75-4f6e-ae69-083911db5c8d","Gebieden met Natuurrisico's - Overstromingen - Risicogebied - Richtlijn Overstromingsrisico's (ROR) (INSPIRE geharmoniseerd) WFS","https://service.pdok.nl/rws/overstromingen-risicogebied/wfs/v1_0?request=GetCapabilities&service=WFS","other",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/serviceType\/ogc\/wfs";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"De service voldoet aan de requirements van de interoperable conformance class";"De service voldoet aan de requirements van de WFS 2.0 conformance class";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"f7d74ce4-9a56-4cdc-ab46-0bf7ec318eeb","Gebieden met Natuurrisico's - Overstromingen - Geobserveerde gebeurtenis - Richtlijn Overstromingsrisico's (ROR) (INSPIRE geharmoniseerd) WFS","https://service.pdok.nl/rws/overstromingen-gebeurtenis/wfs/v1_0?request=GetCapabilities&service=WFS","other",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/serviceType\/ogc\/wfs";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"De service voldoet aan de requirements van de interoperable conformance class";"De service voldoet aan de requirements van de WFS 2.0 conformance class";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"3e0b67e8-5f4b-4d90-8a33-614dbeef5f39","Agglomeraties gemeenten inclusief bevolkingsaantallen volgens Richtlijn Omgevingslawaai 2022 (INSPIRE geharmoniseerd) WFS","https://service.pdok.nl/ienw/agglomeraties-omgevingslawaai-geharmoniseerd/wfs/v1_0?request=GetCapabilities&service=WFS","other",""https:\/\/eur-lex.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/serviceType\/ogc\/wfs";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening; validatie uitgevoerd met de ETF Validator voor INSPIRE view en downloadservices versie 1.4.1";"De service voldoet aan de requirements van de interoperable conformance class";"De service voldoet aan de requirements van de WFS 2.0 conformance class";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
"36cf9eaa-3987-4ae8-9873-5f862da87ebb","Mosselzaadinvanginstallaties OGC API Features","https://api.pdok.nl/rvo/mosselzaadinvanginstallaties/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-invocable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features"",""Conform verordening";"De service voldoet aan de requirements van de invocable conformance class";"is conform OGC API features specificatie"",""true";"true";"true""
"1abb4ba0-cb1a-4b08-9b35-10982db0c74c","Zeegebieden (INSPIRE geharmoniseerd) OGC API Features","https://api.pdok.nl/kadaster/brt-zeegebieden/ogc/v1","other",""https:\/\/data.europa.eu\/eli\/reg\/2010\/1089";"http:\/\/inspire.ec.europa.eu\/id\/ats\/metadata\/2.0\/sds-interoperable";"http:\/\/www.opengis.net\/def\/interface\/ogcapi-features";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/availability";"urn:ogc:def:uom:OGC::percent";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/performance";"http:\/\/www.opengis.net\/def\/uom\/SI\/second";"http:\/\/inspire.ec.europa.eu\/metadata-codelist\/QualityOfServiceCriteria\/capacity";"http:\/\/www.opengis.net\/def\/uom\/OGC\/1.0\/unity"",""Conform verordening";"De service voldoet aan de requirements van de interoperable conformance class";"is conform OGC API features specificatie";"Beschikbaarheid op jaarbasis; uitgedrukt in percentage in tijd";"Gemiddelde response tijd; uitgedrukt in seconden";"Maximum aantal gelijktijdige requests per seconde die aan de performance criteria voldoen; uitgedrukt als aantal requests per seconde"",""true";"true";"true""
